Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
KIN40K,BCM,300,0.24990322462372,0.0294101244179865,-0.77633062582765,0.0387257033978607,0.0537932916666667,0.000637647223359698
KIN40K,BCM,400,0.185023022176949,0.0158863002190781,-0.939860466759323,0.0303428053944087,0.0610486166666667,0.00034878590884428
KIN40K,BCM,500,0.150006513139622,0.0130560352438624,-1.05631561652269,0.0291529733828851,0.0721194916666667,0.00171843563749369
KIN40K,BCM,600,0.129032438528544,0.0069087406517364,-1.14141064519034,0.015697084571891,0.0802811916666667,0.000752093030454562
KIN40K,BCM,700,0.115101623382288,0.00451824611769667,-1.18484406017108,0.0300213012158725,0.0867730666666667,0.000524947013000681
KIN40K,BCM,800,0.102772020563464,0.0015051361498288,-1.23796524581487,0.0118913141140924,0.0953421666666667,0.00115543361377162
KIN40K,BCM,900,0.0924415764592216,0.00332323299568739,-1.28463066297652,0.00618921316409319,0.11066675,0.00175603947546035
KIN40K,BCM,1000,0.087094777890418,0.0103336886998843,-1.3088880805282,0.0389419168482986,0.117379133333333,0.00287776945310223
KIN40K,BCM,1100,0.0818780072526188,0.00351630391333437,-1.31455340206708,0.0392976500550175,0.131092333333333,0.000938216819401731
KIN40K,BCM,1200,0.0776441155075759,0.00168308709774671,-1.34362240686939,0.0126693207965661,0.141809433333333,0.00187622948262157
KIN40K,BCM,1300,0.0726433827235501,0.00636986552995299,-1.33512619636552,0.0557906513563726,0.150906425,0.00192120078678022
KIN40K,BCM,1400,0.0681848347119953,0.00356816186646836,-1.38160731339237,0.0221771114570925,0.158659375,0.0006263053154213
KIN40K,BCM,1500,0.0636466440016263,0.00391840151849623,-1.38863258093544,0.0456811748417996,0.167845225,0.00167807148369044
KIN40K,BCM,1600,0.0648595603076382,0.00512422337562556,-1.35426580085168,0.0662483937284228,0.177935425,0.000780303503852825
KIN40K,BCM,1700,0.0578119863109143,0.00177046330949518,-1.3627765626201,0.0553335291940347,0.18521345,0.00125012292570572
KIN40K,BCM,1800,0.0560733663320122,0.000669829500922535,-1.41079965117144,0.0434474173370933,0.197050416666667,0.00109120760522842
KIN40K,BCM,1900,0.0538100528674111,0.00297771733383047,-1.36660105836638,0.0349779617469307,0.207175125,0.00240489776302964
KIN40K,BCM,2000,0.0516550415483499,0.00206627409916973,-1.37955387402985,0.0715631674544723,0.218345891666667,0.00279320484505852
KIN40K,BCM,2100,0.0508024723668546,0.00250190535374558,-1.35909568824848,0.0653312429047939,0.2247772,0.00179700344688733
KIN40K,BCM,2200,0.0476403707175113,0.000940147486840775,-1.35482666288849,0.0540191749188949,0.222338508333333,0.00629471047608294
KIN40K,BCM,2300,0.0463544762947077,0.00238891720299211,-1.31759576070867,0.0846759094708711,0.232320291666667,0.00357236946108018
KIN40K,BCM,2400,0.0461663898294282,0.00356339436969336,-1.31821552679189,0.109937368541593,0.244680941666667,0.00176995176140715
KIN40K,BCM,2500,0.0445714222933424,0.00322529274608339,-1.33454653187468,0.0569857633686734,0.252380291666667,0.00142496316933397
KIN40K,RBCM,100,0.550171149995279,0.0673350261309362,-0.333304140367859,0.0545944274975114,0.0397209416666667,0.000297784269998157
KIN40K,RBCM,200,0.336369895298212,0.021017559090654,-0.605955634427029,0.0264328553649181,0.0480241166666667,0.00126260548379466
KIN40K,RBCM,300,0.255691371391318,0.0308941452551207,-0.763977417642644,0.0416348878113229,0.054644225,0.000122396463899084
KIN40K,RBCM,400,0.189754594782905,0.0167083289713881,-0.926883760895432,0.0326697198403212,0.0621439083333333,0.00023387401033107
KIN40K,RBCM,500,0.153935140142055,0.0137424435564114,-1.04348942112726,0.0311249397928944,0.074110475,0.00230900602979399
KIN40K,RBCM,600,0.133062374020462,0.00755689215333672,-1.12645138600756,0.0191206629424999,0.0807656333333333,0.00100160338218694
KIN40K,RBCM,700,0.118945270919903,0.00504042793824714,-1.16737496698138,0.0347152841817814,0.0879406916666667,0.000483858611407645
KIN40K,RBCM,800,0.10627820181466,0.0017566510894518,-1.2191906996489,0.01460331722289,0.0969361416666667,0.00226880398590498
KIN40K,RBCM,900,0.0955314787951548,0.0036138989823735,-1.26629696240974,0.00639524730571212,0.110481416666667,0.00108883208368341
KIN40K,RBCM,1000,0.0900287426175197,0.0107975524528653,-1.29216125159968,0.0415426311758951,0.120558983333333,0.00269118907157382
KIN40K,RBCM,1100,0.0844787822787236,0.00360269670236134,-1.29648273809056,0.0417491820971201,0.133862883333333,0.000714695518356133
KIN40K,RBCM,1200,0.0804915919412769,0.00203260708408021,-1.32037293352813,0.0194560011601719,0.150581075,0.00527740285207837
KIN40K,RBCM,1300,0.0745092695645781,0.00680070007191691,-1.32030957528161,0.0586940645516282,0.157062416666667,0.00656875288022455
KIN40K,RBCM,1400,0.0699895773329291,0.00353241768531664,-1.36790356128253,0.0206917910494741,0.162900416666667,0.0028872246325768
KIN40K,RBCM,1500,0.064925067934255,0.00381401135297112,-1.38107141835854,0.0480882252254539,0.175295541666667,0.00514569022133653
KIN40K,RBCM,1600,0.0664772700896828,0.00580164177999588,-1.34336940969388,0.0721190161788991,0.18403775,0.00470252817515482
KIN40K,RBCM,1700,0.0589758007163251,0.00170240956754664,-1.35565931691414,0.0553667051490552,0.192388116666667,0.00188980558347501
KIN40K,RBCM,1800,0.0570499174694736,0.000898282373831563,-1.40923907852451,0.0470768731632808,0.202819658333333,0.00184762308188341
KIN40K,RBCM,1900,0.0546569262375306,0.00308295698005883,-1.36577105460296,0.0329373840378725,0.209522525,0.000428144782024725
KIN40K,RBCM,2000,0.0524521753875801,0.00197401323649194,-1.38316948628195,0.0684439789964267,0.220272975,0.000519961625386908
KIN40K,RBCM,2100,0.0514126965697052,0.00235957189107684,-1.35975964474464,0.0691775408271453,0.2311626,0.00238022836365023
KIN40K,RBCM,2200,0.0480668617235923,0.000878826699753786,-1.36645210915708,0.0555469003438889,0.227568816666667,0.000434110219539167
KIN40K,RBCM,2300,0.0467916659378487,0.00247832003726951,-1.32841137203376,0.0895104891950427,0.236837725,0.00121226078129872
KIN40K,RBCM,2400,0.0465795092730647,0.0035172334080724,-1.33327332237607,0.105883627770558,0.246276325,0.00100621795818551
KIN40K,RBCM,2500,0.0450214240151279,0.00337489182764792,-1.35263587453975,0.0497283355891788,0.259509391666667,0.00374532801503534
